country,Machiavellianism,Narcissism,Psychopathy
NZ,2.2222222222222223,3.7777777777777777,2.7777777777777777
US,3.4444444444444446,4.0,4.333333333333333
IN,4.0,2.7777777777777777,3.3333333333333335
US,4.666666666666667,4.666666666666667,3.111111111111111
IN,3.4444444444444446,3.0,3.7777777777777777
IN,3.4444444444444446,2.888888888888889,2.3333333333333335
US,2.888888888888889,2.7777777777777777,2.888888888888889
US,3.5555555555555554,3.5555555555555554,3.6666666666666665
IN,3.111111111111111,2.888888888888889,3.0
IN,3.2222222222222223,3.2222222222222223,1.8888888888888888
CA,3.4444444444444446,2.6666666666666665,3.0
GB,4.111111111111111,3.111111111111111,2.888888888888889
CA,2.0,1.8888888888888888,1.4444444444444444
CA,4.555555555555555,5.0,5.0
HR,1.7777777777777777,2.111111111111111,1.4444444444444444
CZ,4.666666666666667,3.3333333333333335,3.5555555555555554
CA,4.222222222222222,4.0,3.7777777777777777
US,2.4444444444444446,3.0,2.2222222222222223
US,3.2222222222222223,3.2222222222222223,1.7777777777777777
US,3.0,3.2222222222222223,2.2222222222222223
US,4.555555555555555,3.0,3.111111111111111
US,4.0,3.888888888888889,2.2222222222222223
US,4.222222222222222,4.333333333333333,2.888888888888889
US,4.333333333333333,3.0,2.6666666666666665
